cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx
1,,,,,1,1924.5,,,,Not estimable,1924
2,-0.0035871441584959,0.0414355380698156,-0.0865716803882661,0.931012237592507,2,1929.5,-0.08480079877533447,0.07762651045834268,,Constant/non-significant,1930
3,0.143107674348934,0.0400180778265005,3.57607566683692,3.49037798250594e-4,3,1934.5,0.06467224180899303,0.221543106888875,***,Accumulating advantage,1934
4,0.0930577252864565,0.0392992714224195,2.36792494919813,0.0178910057800092,4,1939.5,0.01603115329851429,0.17008429727439872,*,Accumulating advantage,1940
5,0.0519773362833513,0.0430241654827116,1.20809632680121,0.227014505449484,5,1944.3,-0.03235002806276343,0.13630470062946604,,Constant/non-significant,1944
6,0.0811204162743788,0.0363394893981807,2.23229378336945,0.025598866483993,6,1949.3,0.00989501705394463,0.15234581549481296,*,Accumulating advantage,1949
7,-0.0835038564983007,0.0348530721298441,-2.39588223922441,0.0165831604800906,7,1954.3,-0.15181587787279513,-0.01519183512380625,*,Accumulating disadvantage,1954
8,-0.0413015156403353,0.0332918974911236,-1.24058761298743,0.214762503784341,8,1959.3,-0.10655363472293757,0.02395060344226695,,Constant/non-significant,1959
9,-0.135894120712557,0.0370635796873522,-3.66651364651997,2.4607104859621e-4,9,1964.3,-0.20853873689976732,-0.06324950452534668,***,Accumulating disadvantage,1964
10,-0.0923627651828666,0.036739023916004,-2.51402338271247,0.0119385919627789,10,1969.3,-0.16437125205823444,-0.02035427830749876,*,Accumulating disadvantage,1969
11,-0.128199229675538,0.0401370804168413,-3.19403475150989,0.00140364558507036,11,1974.3,-0.20686790729254695,-0.04953055205852906,**,Accumulating disadvantage,1974
12,-0.0117479409426197,0.0350281215445346,-0.335385982022571,0.737334998156957,12,1979.3,-0.08040305916990752,0.05690717728466811,,Constant/non-significant,1979
13,0.0431271772911565,0.0373171527848538,1.15569313499879,0.247810846284717,13,1984.25,-0.03001444216715695,0.11626879674946994,,Constant/non-significant,1984
14,-0.0311148520860374,0.0329539884025453,-0.944190782188726,0.345075592595491,14,1989.1666666666667,-0.09570466935502618,0.03347496518295138,,Constant/non-significant,1989
15,0.050970433085727,0.0403863144874946,1.26207191056044,0.206927334705534,15,1994,-0.02818674330976241,0.1301276094812164,,Constant/non-significant,1994
16,,,,,16,1998.5,,,,Not estimable,1998
